ra_deg,dec_deg,mag,nama,bayer,konstelasi,hip
311.55267,33.97026,2.48,Aljanah,Eps,Cyg,102488
346.19022,15.20526,2.49,Markab,Alp,Peg,113963
45.56988,4.08973,2.54,Menkar,Alp,Cet,14135
249.28974,-10.56709,2.54,,Zet,Oph,81377
208.88501,-47.28838,2.55,,Zet,Cen,68002
168.52707,20.52372,2.56,Zosma,Del,Leo,54872
241.35930,-19.80545,2.56,Acrab,Bet-1,Sco,78820
83.18256,-17.82229,2.58,Arneb,Alp,Lep,25985
182.08965,-50.72243,2.58,,Del,Cen,59196
183.95155,-17.54193,2.58,Gienah,Gam,Crv,59803
285.65298,-29.88011,2.60,Ascella,Zet,Sgr,93506
229.25173,-9.38292,2.61,Zubeneschamali,Bet,Lib,74785
236.06697,6.42563,2.63,Unukalhai,Alp,Ser,77070
28.66002,20.80804,2.64,Sheratan,Bet,Ari,8903
84.91226,-34.07411,2.65,Phact,Alp,Col,26634
89.93027,37.21258,2.65,Mahasim,The,Aur,28380
188.59681,-23.39676,2.65,Kraz,Bet,Crv,61359
21.45324,60.23528,2.66,Ruchbah,Del,Cas,6686
208.67117,18.39772,2.68,Muphrid,Eta,Boo,67927
224.63305,-43.13396,2.68,,Bet,Lup,73273
74.24841,33.16609,2.69,Hassaleh,Iot,Aur,23015
161.69232,-49.42025,2.69,,Mu,Vel,52727
189.29608,-69.13556,2.69,,Alp,Mus,61585
262.69098,-37.29581,2.70,Lesath,Ups,Sco,85696
109.28566,-37.09747,2.71,,Pi,Pup,35264
275.24850,-29.82810,2.72,Kaus Media,Del,Sgr,89931
296.56491,10.61326,2.72,Tarazed,Gam,Aql,97278
243.58641,-3.69432,2.73,Yed Prior,Del,Oph,79593
245.99790,61.51421,2.73,Athebyne,Eta,Dra,80331
160.73924,-64.39445,2.74,,The,Car,52419
190.41518,-1.44938,2.74,Porrima,Gam,Vir,61941
83.85826,-5.90990,2.75,Hatysa,Iot,Ori,26241
200.14944,-36.71229,2.75,,Iot,Cen,65109
222.71965,-16.04178,2.75,Zubenelgenubi,Alp-2,Lib,72622
265.86815,4.56730,2.76,Cebalrai,Bet,Oph,86742
76.96243,-5.08645,2.78,Cursa,Bet,Eri,23875
247.55502,21.48961,2.78,Kornephoros,Bet,Her,80816
258.66190,14.39033,2.78,Rasalgethi,Alp-1,Her,84345
183.78641,-58.74893,2.79,Imai,Del,Cru,59747
262.60820,52.30139,2.79,Rastaban,Bet,Dra,85670
233.78521,-41.16676,2.80,,Gam,Lup,76297
82.06134,-20.75944,2.81,Nihal,Bet,Lep,25606
250.32170,31.60273,2.81,,Zet,Her,81693
6.41874,-77.25425,2.82,,Bet,Hyi,2021
248.97065,-28.21602,2.82,Paikauhale,Tau,Sco,81266
276.99268,-25.42170,2.82,Kaus Borealis,Lam,Sgr,90496
